Time (s) - Plot 0	Current (mA) - Plot 0	Time (s) - Plot 1	Current (mA) - Plot 1	Time (s) - Plot 2	Current (mA) - Plot 2	
0	0	0	18.5	0	0	
6.5536E-5	0	6.5536E-5	18.7	6.5536E-5	0	
0.00013107	0	0.00013107	18.5	0.00013107	0	
0.00019661	0	0.00019661	18.7	0.00019661	0	
0.00026214	0	0.00026214	19	0.00026214	0	
0.00032768	0	0.00032768	18.7	0.00032768	0	
0.00039322	0	0.00039322	18.7	0.00039322	0	
0.00045875	0	0.00045875	18.7	0.00045875	0	
0.00052429	0	0.00052429	18.5	0.00052429	0	
0.00058982	0	0.00058982	18.5	0.00058982	0	
0.00065536	0	0.00065536	18.2	0.00065536	0	
0.0007209	0	0.0007209	18.5	0.0007209	0	
0.00078643	0	0.00078643	18.2	0.00078643	0	
0.00085197	0	0.00085197	18.5	0.00085197	0	
0.0009175	0	0.0009175	18.5	0.0009175	0	
0.00098304	0	0.00098304	18.5	0.00098304	0	
0.0010486	0	0.0010486	18.7	0.0010486	0	
0.0011141	0	0.0011141	18.7	0.0011141	0	
0.0011796	0	0.0011796	18.5	0.0011796	0	
0.0012452	0	0.0012452	18.5	0.0012452	0	
0.0013107	0	0.0013107	18.5	0.0013107	0	
0.0013763	0	0.0013763	18.5	0.0013763	0	
0.0014418	0	0.0014418	18.5	0.0014418	0	
0.0015073	0	0.0015073	18.5	0.0015073	0	
0.0015729	0	0.0015729	18.5	0.0015729	0	
0.0016384	0	0.0016384	18.5	0.0016384	0	
0.0017039	0	0.0017039	18.2	0.0017039	0	
0.0017695	0	0.0017695	18.5	0.0017695	0	
0.001835	0	0.001835	18.5	0.001835	0	
0.0019005	0	0.0019005	18.7	0.0019005	0	
0.0019661	0	0.0019661	18.7	0.0019661	0	
0.0020316	0	0.0020316	19	0.0020316	0	
0.0020972	0	0.0020972	18.7	0.0020972	0	
0.0021627	0	0.0021627	19	0.0021627	0	
0.0022282	0	0.0022282	18.7	0.0022282	0	
0.0022938	0	0.0022938	19	0.0022938	0	
0.0023593	0	0.0023593	19	0.0023593	0	
0.0024248	0	0.0024248	19	0.0024248	0	
0.0024904	0	0.0024904	18.7	0.0024904	0	
0.0025559	0	0.0025559	18.7	0.0025559	0	
0.0026214	0	0.0026214	18.5	0.0026214	0	
0.002687	0	0.002687	19	0.002687	0	
0.0027525	0	0.0027525	18.7	0.0027525	0	
0.002818	0	0.002818	19	0.002818	0	
0.0028836	0	0.0028836	19	0.0028836	0	
0.0029491	0	0.0029491	19.3	0.0029491	0	
0.0030147	0	0.0030147	19	0.0030147	0	
0.0030802	0	0.0030802	19	0.0030802	0	
0.0031457	0	0.0031457	18.7	0.0031457	0	
0.0032113	0	0.0032113	18.7	0.0032113	0	
0.0032768	0	0.0032768	19	0.0032768	0	
0.0033423	0	0.0033423	18.7	0.0033423	0	
0.0034079	0	0.0034079	19	0.0034079	0	
0.0034734	0	0.0034734	19.3	0.0034734	0	
0.0035389	0	0.0035389	19	0.0035389	0	
0.0036045	0	0.0036045	19.3	0.0036045	0	
0.00367	0	0.00367	19	0.00367	0	
0.0037356	0	0.0037356	19	0.0037356	0	
0.0038011	0	0.0038011	19.3	0.0038011	0	
0.0038666	0	0.0038666	19	0.0038666	0	
0.0039322	0	0.0039322	19	0.0039322	0	
0.0039977	0	0.0039977	19	0.0039977	0	
0.0040632	0	0.0040632	18.7	0.0040632	0	
0.0041288	0	0.0041288	19	0.0041288	0	
0.0041943	0	0.0041943	19	0.0041943	0	
0.0042598	0	0.0042598	19.3	0.0042598	0	
0.0043254	0	0.0043254	19	0.0043254	0	
0.0043909	0	0.0043909	18.7	0.0043909	0	
0.0044564	0	0.0044564	18.7	0.0044564	0	
0.004522	0	0.004522	18.5	0.004522	0	
0.0045875	0	0.0045875	18.7	0.0045875	0	
0.0046531	0	0.0046531	18.7	0.0046531	0	
0.0047186	0	0.0047186	18.7	0.0047186	0	
0.0047841	0	0.0047841	19	0.0047841	0	
0.0048497	0	0.0048497	19	0.0048497	0	
0.0049152	0	0.0049152	19	0.0049152	0	
0.0049807	0	0.0049807	18.7	0.0049807	0	
0.0050463	0	0.0050463	18.5	0.0050463	0	
0.0051118	0	0.0051118	18.5	0.0051118	0	
0.0051773	0	0.0051773	18.5	0.0051773	0	
0.0052429	0	0.0052429	18.2	0.0052429	0	
0.0053084	0	0.0053084	18.2	0.0053084	0	
0.005374	0	0.005374	18.5	0.005374	0	
0.0054395	0	0.0054395	18.5	0.0054395	0	
0.005505	0	0.005505	18.5	0.005505	0	
0.0055706	0	0.0055706	18.7	0.0055706	0	
0.0056361	0	0.0056361	18.5	0.0056361	0	
0.0057016	0	0.0057016	18.5	0.0057016	0	
0.0057672	0	0.0057672	18.2	0.0057672	0	
0.0058327	0	0.0058327	18.5	0.0058327	0	
0.0058982	0	0.0058982	18.2	0.0058982	0	
0.0059638	0	0.0059638	18.5	0.0059638	0	
0.0060293	0	0.0060293	18.5	0.0060293	0	
0.0060948	0	0.0060948	18.5	0.0060948	0	
0.0061604	0	0.0061604	18.2	0.0061604	0	
0.0062259	0	0.0062259	18.2	0.0062259	0	
0.0062915	0	0.0062915	18.5	0.0062915	0	
0.006357	0	0.006357	18.7	0.006357	0	
0.0064225	0	0.0064225	18.5	0.0064225	0	
0.0064881	0	0.0064881	18.7	0.0064881	0	
0.0065536	0	0.0065536	18.7	0.0065536	0	
0.0066191	0	0.0066191	18.7	0.0066191	0	
0.0066847	0	0.0066847	18.7	0.0066847	0	
0.0067502	0	0.0067502	18.7	0.0067502	0	
0.0068157	0	0.0068157	18.5	0.0068157	0	
0.0068813	0	0.0068813	18.5	0.0068813	0	
0.0069468	0	0.0069468	18.2	0.0069468	0	
0.0070124	0	0.0070124	18.5	0.0070124	0	
0.0070779	0	0.0070779	18.2	0.0070779	0	
0.0071434	0	0.0071434	18.5	0.0071434	0	
0.007209	0	0.007209	18.5	0.007209	0	
0.0072745	0	0.0072745	18.7	0.0072745	0	
0.00734	0	0.00734	18.7	0.00734	0	
0.0074056	0	0.0074056	18.7	0.0074056	0	
0.0074711	0	0.0074711	18.7	0.0074711	0	
0.0075366	0	0.0075366	18.7	0.0075366	0	
0.0076022	0	0.0076022	18.7	0.0076022	0	
0.0076677	0	0.0076677	18.5	0.0076677	0	
0.0077332	0	0.0077332	18.5	0.0077332	0	
0.0077988	0	0.0077988	18.5	0.0077988	0	
0.0078643	0	0.0078643	18.7	0.0078643	0	
0.0079299	0	0.0079299	18.5	0.0079299	0	
