Time (s) - Plot 0	Current (mA) - Plot 0	Time (s) - Plot 1	Current (mA) - Plot 1	Time (s) - Plot 2	Current (mA) - Plot 2	
0	0	0	12.3	0	0	
5.5602E-5	0	5.5602E-5	12.1	5.5602E-5	0	
0.0001112	0	0.0001112	12.1	0.0001112	0	
0.00016681	0	0.00016681	12.1	0.00016681	0	
0.00022241	0	0.00022241	12.1	0.00022241	0	
0.00027801	0	0.00027801	12.1	0.00027801	0	
0.00033361	0	0.00033361	12.3	0.00033361	0	
0.00038921	0	0.00038921	12.1	0.00038921	0	
0.00044482	0	0.00044482	12.1	0.00044482	0	
0.00050042	0	0.00050042	11.8	0.00050042	0	
0.00055602	0	0.00055602	12.1	0.00055602	0	
0.00061162	0	0.00061162	12.1	0.00061162	0	
0.00066722	0	0.00066722	12.3	0.00066722	0	
0.00072283	0	0.00072283	12.1	0.00072283	0	
0.00077843	0	0.00077843	12.1	0.00077843	0	
0.00083403	0	0.00083403	12.3	0.00083403	0	
0.00088963	0	0.00088963	12.1	0.00088963	0	
0.00094523	0	0.00094523	12.3	0.00094523	0	
0.0010008	0	0.0010008	12.1	0.0010008	0	
0.0010564	0	0.0010564	12.1	0.0010564	0	
0.001112	0	0.001112	12.1	0.001112	0	
0.0011676	0	0.0011676	12.1	0.0011676	0	
0.0012232	0	0.0012232	12.1	0.0012232	0	
0.0012788	0	0.0012788	12.1	0.0012788	0	
0.0013344	0	0.0013344	12.1	0.0013344	0	
0.0013901	0	0.0013901	12.1	0.0013901	0	
0.0014457	0	0.0014457	12.3	0.0014457	0	
0.0015013	0	0.0015013	11.8	0.0015013	0	
0.0015569	0	0.0015569	12.3	0.0015569	0	
0.0016125	0	0.0016125	11.8	0.0016125	0	
0.0016681	0	0.0016681	12.1	0.0016681	0	
0.0017237	0	0.0017237	12.1	0.0017237	0	
0.0017793	0	0.0017793	12.1	0.0017793	0	
0.0018349	0	0.0018349	12.1	0.0018349	0	
0.0018905	0	0.0018905	12.1	0.0018905	0	
0.0019461	0	0.0019461	12.3	0.0019461	0	
0.0020017	0	0.0020017	12.1	0.0020017	0	
0.0020573	0	0.0020573	12.1	0.0020573	0	
0.0021129	0	0.0021129	11.8	0.0021129	0	
0.0021685	0	0.0021685	12.1	0.0021685	0	
0.0022241	0	0.0022241	12.1	0.0022241	0	
0.0022797	0	0.0022797	12.3	0.0022797	0	
0.0023353	0	0.0023353	12.3	0.0023353	0	
0.0023909	0	0.0023909	12.1	0.0023909	0	
0.0024465	0	0.0024465	12.3	0.0024465	0	
0.0025021	0	0.0025021	12.1	0.0025021	0	
0.0025577	0	0.0025577	12.1	0.0025577	0	
0.0026133	0	0.0026133	12.1	0.0026133	0	
0.0026689	0	0.0026689	12.3	0.0026689	0	
0.0027245	0	0.0027245	12.1	0.0027245	0	
0.0027801	0	0.0027801	12.1	0.0027801	0	
0.0028357	0	0.0028357	12.1	0.0028357	0	
0.0028913	0	0.0028913	12.1	0.0028913	0	
0.0029469	0	0.0029469	12.1	0.0029469	0	
0.0030025	0	0.0030025	12.3	0.0030025	0	
0.0030581	0	0.0030581	12.1	0.0030581	0	
0.0031137	0	0.0031137	12.1	0.0031137	0	
0.0031693	0	0.0031693	12.1	0.0031693	0	
0.0032249	0	0.0032249	12.1	0.0032249	0	
0.0032805	0	0.0032805	12.1	0.0032805	0	
0.0033361	0	0.0033361	12.1	0.0033361	0	
0.0033917	0	0.0033917	12.1	0.0033917	0	
0.0034473	0	0.0034473	11.8	0.0034473	0	
0.0035029	0	0.0035029	12.1	0.0035029	0	
0.0035585	0	0.0035585	12.3	0.0035585	0	
0.0036141	0	0.0036141	12.1	0.0036141	0	
0.0036697	0	0.0036697	12.1	0.0036697	0	
0.0037253	0	0.0037253	12.1	0.0037253	0	
0.0037809	0	0.0037809	12.1	0.0037809	0	
0.0038365	0	0.0038365	12.1	0.0038365	0	
0.0038921	0	0.0038921	12.1	0.0038921	0	
0.0039477	0	0.0039477	12.1	0.0039477	0	
0.0040033	0	0.0040033	12.3	0.0040033	0	
0.0040589	0	0.0040589	12.1	0.0040589	0	
0.0041145	0	0.0041145	12.1	0.0041145	0	
0.0041702	0	0.0041702	12.1	0.0041702	0	
0.0042258	0	0.0042258	12.1	0.0042258	0	
0.0042814	0	0.0042814	12.3	0.0042814	0	
0.004337	0	0.004337	12.1	0.004337	0	
0.0043926	0	0.0043926	12.1	0.0043926	0	
0.0044482	0	0.0044482	12.1	0.0044482	0	
0.0045038	0	0.0045038	12.1	0.0045038	0	
0.0045594	0	0.0045594	12.1	0.0045594	0	
0.004615	0	0.004615	12.1	0.004615	0	
0.0046706	0	0.0046706	12.1	0.0046706	0	
0.0047262	0	0.0047262	12.1	0.0047262	0	
0.0047818	0	0.0047818	12.3	0.0047818	0	
0.0048374	0	0.0048374	12.1	0.0048374	0	
0.004893	0	0.004893	12.1	0.004893	0	
0.0049486	0	0.0049486	12.1	0.0049486	0	
0.0050042	0	0.0050042	12.1	0.0050042	0	
0.0050598	0	0.0050598	12.3	0.0050598	0	
0.0051154	0	0.0051154	12.1	0.0051154	0	
0.005171	0	0.005171	11.8	0.005171	0	
0.0052266	0	0.0052266	12.1	0.0052266	0	
0.0052822	0	0.0052822	12.3	0.0052822	0	
0.0053378	0	0.0053378	12.1	0.0053378	0	
0.0053934	0	0.0053934	12.1	0.0053934	0	
0.005449	0	0.005449	12.3	0.005449	0	
0.0055046	0	0.0055046	12.3	0.0055046	0	
0.0055602	0	0.0055602	12.3	0.0055602	0	
0.0056158	0	0.0056158	12.1	0.0056158	0	
0.0056714	0	0.0056714	12.1	0.0056714	0	
0.005727	0	0.005727	12.1	0.005727	0	
0.0057826	0	0.0057826	12.1	0.0057826	0	
0.0058382	0	0.0058382	12.3	0.0058382	0	
0.0058938	0	0.0058938	12.1	0.0058938	0	
0.0059494	0	0.0059494	12.1	0.0059494	0	
0.006005	0	0.006005	12.3	0.006005	0	
0.0060606	0	0.0060606	12.6	0.0060606	0	
0.0061162	0	0.0061162	12.3	0.0061162	0	
0.0061718	0	0.0061718	12.1	0.0061718	0	
0.0062274	0	0.0062274	12.1	0.0062274	0	
0.006283	0	0.006283	12.3	0.006283	0	
0.0063386	0	0.0063386	12.1	0.0063386	0	
0.0063942	0	0.0063942	12.1	0.0063942	0	
0.0064498	0	0.0064498	12.1	0.0064498	0	
0.0065054	0	0.0065054	12.1	0.0065054	0	
0.006561	0	0.006561	12.1	0.006561	0	
0.0066166	0	0.0066166	12.1	0.0066166	0	
0.0066722	0	0.0066722	12.3	0.0066722	0	
