Time (s) - Plot 0	Current (mA) - Plot 0	Time (s) - Plot 1	Current (mA) - Plot 1	Time (s) - Plot 2	Current (mA) - Plot 2	
0	16	0	19.3	0	0	
2.1E-8	16	2.1E-8	19.3	2.1E-8	0	
4.2E-8	16	4.2E-8	19.3	4.2E-8	0	
6.3E-8	16	6.3E-8	19.3	6.3E-8	0	
8.4E-8	16	8.4E-8	19.3	8.4E-8	0	
1.05E-7	16	1.05E-7	19.3	1.05E-7	0	
1.26E-7	16	1.26E-7	19.3	1.26E-7	0	
1.47E-7	16	1.47E-7	19.6	1.47E-7	0	
1.68E-7	16	1.68E-7	19.3	1.68E-7	0	
1.89E-7	16	1.89E-7	19.3	1.89E-7	0	
2.1E-7	16	2.1E-7	19.3	2.1E-7	0	
2.31E-7	16	2.31E-7	19.3	2.31E-7	0	
2.52E-7	16	2.52E-7	19.3	2.52E-7	0	
2.73E-7	16	2.73E-7	19.3	2.73E-7	0	
2.94E-7	16	2.94E-7	19.3	2.94E-7	0	
3.15E-7	16	3.15E-7	19.3	3.15E-7	0	
3.36E-7	16	3.36E-7	19.3	3.36E-7	0	
3.57E-7	16	3.57E-7	19.3	3.57E-7	0	
3.78E-7	16	3.78E-7	19.3	3.78E-7	0	
3.99E-7	16	3.99E-7	19.6	3.99E-7	0	
4.2E-7	16	4.2E-7	19	4.2E-7	0	
4.41E-7	16	4.41E-7	19.6	4.41E-7	0	
4.62E-7	16	4.62E-7	19.3	4.62E-7	0	
4.83E-7	16	4.83E-7	19.3	4.83E-7	0	
5.04E-7	16	5.04E-7	19.3	5.04E-7	0	
5.25E-7	16	5.25E-7	19.6	5.25E-7	0	
5.46E-7	16	5.46E-7	19.3	5.46E-7	0	
5.67E-7	16	5.67E-7	19.6	5.67E-7	0	
5.88E-7	16	5.88E-7	19.3	5.88E-7	0	
6.09E-7	16	6.09E-7	19.6	6.09E-7	0	
6.3E-7	16	6.3E-7	19.3	6.3E-7	0	
6.51E-7	16	6.51E-7	19.6	6.51E-7	0	
6.72E-7	16	6.72E-7	19.6	6.72E-7	0	
6.93E-7	16	6.93E-7	19.6	6.93E-7	0	
7.14E-7	16	7.14E-7	19.6	7.14E-7	0	
7.35E-7	16	7.35E-7	19.3	7.35E-7	0	
7.56E-7	16	7.56E-7	19.6	7.56E-7	0	
7.77E-7	16	7.77E-7	19.6	7.77E-7	0	
7.98E-7	16	7.98E-7	19.6	7.98E-7	0	
8.19E-7	16	8.19E-7	19.6	8.19E-7	0	
8.4E-7	16	8.4E-7	19.3	8.4E-7	0	
8.61E-7	16	8.61E-7	19.3	8.61E-7	0	
8.82E-7	16	8.82E-7	19.3	8.82E-7	0	
9.03E-7	16	9.03E-7	19.6	9.03E-7	0	
9.24E-7	16	9.24E-7	19.3	9.24E-7	0	
9.45E-7	16	9.45E-7	19.3	9.45E-7	0	
9.66E-7	16	9.66E-7	19.3	9.66E-7	0	
9.87E-7	16	9.87E-7	19.6	9.87E-7	0	
