Time (s) - Plot 0	Current (mA) - Plot 0	Time (s) - Plot 1	Current (mA) - Plot 1	Time (s) - Plot 2	Current (mA) - Plot 2	
0	16	0	12.3	0	0	
4.2408E-5	16	4.2408E-5	12.1	4.2408E-5	0	
8.4816E-5	16	8.4816E-5	12.1	8.4816E-5	0	
0.00012722	16	0.00012722	12.1	0.00012722	0	
0.00016963	16	0.00016963	12.1	0.00016963	0	
0.00021204	16	0.00021204	12.1	0.00021204	0	
0.00025445	16	0.00025445	12.3	0.00025445	0	
0.00029686	16	0.00029686	12.1	0.00029686	0	
0.00033926	16	0.00033926	12.1	0.00033926	0	
0.00038167	16	0.00038167	12.1	0.00038167	0	
0.00042408	16	0.00042408	12.1	0.00042408	0	
0.00046649	16	0.00046649	12.1	0.00046649	0	
0.0005089	16	0.0005089	12.1	0.0005089	0	
0.0005513	16	0.0005513	12.3	0.0005513	0	
0.00059371	16	0.00059371	12.1	0.00059371	0	
0.00063612	16	0.00063612	12.1	0.00063612	0	
0.00067853	16	0.00067853	12.1	0.00067853	0	
0.00072094	16	0.00072094	12.1	0.00072094	0	
0.00076334	16	0.00076334	12.1	0.00076334	0	
0.00080575	16	0.00080575	12.1	0.00080575	0	
0.00084816	16	0.00084816	12.1	0.00084816	0	
0.00089057	16	0.00089057	12.1	0.00089057	0	
0.00093298	16	0.00093298	12.1	0.00093298	0	
0.00097538	16	0.00097538	12.6	0.00097538	0	
0.0010178	16	0.0010178	12.3	0.0010178	0	
0.0010602	16	0.0010602	12.1	0.0010602	0	
0.0011026	16	0.0011026	12.1	0.0011026	0	
0.001145	16	0.001145	12.1	0.001145	0	
0.0011874	16	0.0011874	12.1	0.0011874	0	
0.0012298	16	0.0012298	12.1	0.0012298	0	
0.0012722	16	0.0012722	12.1	0.0012722	0	
0.0013146	16	0.0013146	12.1	0.0013146	0	
0.0013571	16	0.0013571	12.1	0.0013571	0	
0.0013995	16	0.0013995	12.1	0.0013995	0	
0.0014419	16	0.0014419	12.1	0.0014419	0	
0.0014843	16	0.0014843	12.1	0.0014843	0	
0.0015267	16	0.0015267	12.3	0.0015267	0	
0.0015691	16	0.0015691	12.1	0.0015691	0	
0.0016115	16	0.0016115	12.1	0.0016115	0	
0.0016539	16	0.0016539	12.1	0.0016539	0	
0.0016963	16	0.0016963	12.1	0.0016963	0	
0.0017387	16	0.0017387	12.1	0.0017387	0	
0.0017811	16	0.0017811	12.1	0.0017811	0	
0.0018235	16	0.0018235	12.3	0.0018235	0	
0.001866	16	0.001866	12.1	0.001866	0	
0.0019084	16	0.0019084	12.1	0.0019084	0	
0.0019508	16	0.0019508	12.1	0.0019508	0	
0.0019932	16	0.0019932	12.1	0.0019932	0	
0.0020356	16	0.0020356	12.3	0.0020356	0	
0.002078	16	0.002078	12.3	0.002078	0	
0.0021204	16	0.0021204	12.1	0.0021204	0	
0.0021628	16	0.0021628	12.1	0.0021628	0	
0.0022052	16	0.0022052	12.1	0.0022052	0	
0.0022476	16	0.0022476	12.1	0.0022476	0	
0.00229	16	0.00229	12.1	0.00229	0	
0.0023324	16	0.0023324	12.1	0.0023324	0	
0.0023748	16	0.0023748	12.1	0.0023748	0	
0.0024173	16	0.0024173	12.1	0.0024173	0	
0.0024597	16	0.0024597	12.1	0.0024597	0	
0.0025021	16	0.0025021	12.1	0.0025021	0	
0.0025445	16	0.0025445	12.1	0.0025445	0	
0.0025869	16	0.0025869	12.1	0.0025869	0	
0.0026293	16	0.0026293	12.3	0.0026293	0	
0.0026717	16	0.0026717	12.3	0.0026717	0	
0.0027141	16	0.0027141	12.1	0.0027141	0	
0.0027565	16	0.0027565	12.1	0.0027565	0	
0.0027989	16	0.0027989	12.1	0.0027989	0	
0.0028413	16	0.0028413	12.1	0.0028413	0	
0.0028837	16	0.0028837	12.1	0.0028837	0	
0.0029262	16	0.0029262	11.8	0.0029262	0	
0.0029686	16	0.0029686	12.3	0.0029686	0	
0.003011	16	0.003011	12.3	0.003011	0	
0.0030534	16	0.0030534	12.3	0.0030534	0	
0.0030958	16	0.0030958	12.3	0.0030958	0	
0.0031382	16	0.0031382	12.1	0.0031382	0	
0.0031806	16	0.0031806	12.1	0.0031806	0	
0.003223	16	0.003223	12.1	0.003223	0	
0.0032654	16	0.0032654	12.1	0.0032654	0	
0.0033078	16	0.0033078	12.1	0.0033078	0	
0.0033502	16	0.0033502	12.3	0.0033502	0	
0.0033926	16	0.0033926	12.1	0.0033926	0	
0.003435	16	0.003435	12.1	0.003435	0	
0.0034775	16	0.0034775	12.1	0.0034775	0	
0.0035199	16	0.0035199	12.1	0.0035199	0	
0.0035623	16	0.0035623	12.3	0.0035623	0	
0.0036047	16	0.0036047	12.1	0.0036047	0	
0.0036471	16	0.0036471	12.1	0.0036471	0	
0.0036895	16	0.0036895	12.1	0.0036895	0	
0.0037319	16	0.0037319	12.1	0.0037319	0	
0.0037743	16	0.0037743	12.1	0.0037743	0	
0.0038167	16	0.0038167	12.1	0.0038167	0	
0.0038591	16	0.0038591	12.1	0.0038591	0	
0.0039015	16	0.0039015	12.1	0.0039015	0	
0.0039439	16	0.0039439	12.1	0.0039439	0	
0.0039864	16	0.0039864	12.3	0.0039864	0	
0.0040288	16	0.0040288	12.1	0.0040288	0	
0.0040712	16	0.0040712	12.1	0.0040712	0	
0.0041136	16	0.0041136	12.1	0.0041136	0	
0.004156	16	0.004156	12.3	0.004156	0	
0.0041984	16	0.0041984	12.1	0.0041984	0	
0.0042408	16	0.0042408	12.1	0.0042408	0	
0.0042832	16	0.0042832	12.1	0.0042832	0	
0.0043256	16	0.0043256	12.1	0.0043256	0	
0.004368	16	0.004368	12.1	0.004368	0	
0.0044104	16	0.0044104	12.1	0.0044104	0	
0.0044528	16	0.0044528	12.1	0.0044528	0	
0.0044952	16	0.0044952	12.1	0.0044952	0	
0.0045377	16	0.0045377	12.1	0.0045377	0	
0.0045801	16	0.0045801	11.8	0.0045801	0	
0.0046225	16	0.0046225	12.1	0.0046225	0	
0.0046649	16	0.0046649	12.1	0.0046649	0	
0.0047073	16	0.0047073	12.1	0.0047073	0	
0.0047497	16	0.0047497	12.1	0.0047497	0	
0.0047921	16	0.0047921	12.1	0.0047921	0	
0.0048345	16	0.0048345	12.1	0.0048345	0	
0.0048769	16	0.0048769	12.1	0.0048769	0	
0.0049193	16	0.0049193	12.3	0.0049193	0	
0.0049617	16	0.0049617	12.1	0.0049617	0	
0.0050041	16	0.0050041	12.3	0.0050041	0	
0.0050466	16	0.0050466	12.3	0.0050466	0	
0.005089	16	0.005089	12.1	0.005089	0	
0.0051314	16	0.0051314	12.3	0.0051314	0	
0.0051738	16	0.0051738	12.3	0.0051738	0	
0.0052162	16	0.0052162	12.1	0.0052162	0	
0.0052586	16	0.0052586	12.1	0.0052586	0	
0.005301	16	0.005301	12.1	0.005301	0	
0.0053434	16	0.0053434	12.1	0.0053434	0	
0.0053858	16	0.0053858	12.1	0.0053858	0	
0.0054282	16	0.0054282	12.1	0.0054282	0	
0.0054706	16	0.0054706	12.1	0.0054706	0	
0.005513	16	0.005513	12.1	0.005513	0	
0.0055554	16	0.0055554	12.1	0.0055554	0	
0.0055979	16	0.0055979	12.1	0.0055979	0	
0.0056403	16	0.0056403	12.1	0.0056403	0	
0.0056827	16	0.0056827	12.1	0.0056827	0	
0.0057251	16	0.0057251	12.1	0.0057251	0	
0.0057675	16	0.0057675	12.1	0.0057675	0	
0.0058099	16	0.0058099	11.5	0.0058099	0	
0.0058523	16	0.0058523	12.1	0.0058523	0	
0.0058947	16	0.0058947	12.1	0.0058947	0	
